depth (m),gas age (a B1950),CH4 (ppbv)
2422.23,281419,473
2423.78,281863,462
2424.93,282328,448
2426.03,282751,457
2427.13,283143,468
2428.23,283472,425
2429.33,283805,453
2430.43,284143,471
2431.48,284452,499
2432.63,284804,509
2433.73,285155,465
2434.83,285483,477
2435.93,285828,457
2437.03,286192,470
2438.13,286501,486
2439.23,286814,495
2440.33,287133,500
2441.43,287465,507
2442.53,287798,520
2443.63,288132,529
2444.73,288423,514
2445.83,288725,521
2446.93,289039,511
2448.03,289375,532
2449.13,289709,530
2450.18,290025,531
2451.33,290310,547
2452.43,290580,524
2455.73,291562,454
2456.83,291964,459
2457.93,292339,448
2459,292721,453
2460.13,293145,444
2460.7,293358,454
2462.33,293995,482
2462.9,294236,521
2464.53,294857,489
2465.1,295062,501
2466.73,295697,552
2467.3,295857,564
2468.93,296310,587
2469.5,296469,524
2471.13,297110,488
2471.7,297366,505
2473.33,298101,467
2473.9,298308,491
2475.53,298875,519
2476.1,299057,518
2477.73,299604,496
2478.83,299962,518
2479.4,300136,520
2481.03,300747,459
2481.6,300981,487
2483.23,301757,453
2483.8,301960,453
2485.43,302522,456
2486,302709,462
2487.63,303242,466
2488.2,303428,477
2489.83,303977,491
2490.4,304172,490
2492.03,304711,498
2492.6,304886,505
2494.23,305450,451
2494.8,305659,449
2496.43,306362,459
2497,306660,485
2498.58,307426,459
2499.2,307668,466
2500.83,308312,478
2501.4,308539,509
2503.03,309294,467
2503.6,309568,460
