,age,irish_temperature,irish_rainfall,global_ch4,global_temp_x,global_temp_y,global_co2_x,sigma mean_x,global_co2_y,sigma mean_y
344,308.9196394420039,,,687.05724,,,,,,
345,320.0696544766381,,,684.4167199999999,,,,,,
346,325.99844476857334,,,679.4291999999999,,,,,,
347,338.59279047122413,,,679.30636,,,,,,
348,345.5790189914817,,,667.6824,,,,,,
349,349.004,,,784.0,,,,,,
350,349.382,,,762.0,,,,,,
351,351.595,,,710.0,,,,,,
352,357.8925364865722,,,665.3832399999999,,,,,,
353,360.70173264989216,,,672.80044,,,,,,
354,370.178,,,727.0,,,,,,
355,376.01910585200176,,,684.7504,,,,,,
356,386.1,,,696.0,,,,,,
357,388.5696511358367,,,713.43232,,,,,,
358,390.08,,,683.0,,,,,,
359,399.28693777088233,,,704.29828,,,,,,
360,413.7149186953279,,,699.9485999999999,,,,,,
361,419.3221967149311,,,698.9068,,,,,,
362,442.94127361995834,,,699.75784,,,,,,
363,447.47639602399363,,,692.96312,,,,,,
364,473.595,,,679.0,,,,,,
365,479.527649999608,,,671.3971999999999,,,,,,
366,490.1044272669485,,,681.726,,,,,,
367,499.8649285222432,,,681.5376000000001,,,,,,
368,512.812,,,676.0,,,,,,
369,519.6738784632282,,,685.6616799999999,,,,,,
370,536.004,,,651.0,,,,,,
371,537.7461610434034,,,664.74836,,,,,,
372,539.237,,,684.0,,,,,,
373,539.855,,,681.0,,,,,,
374,558.4882261807691,,,676.28166,,,,,,
375,558.5447389365165,,,678.85692,,,,,,
376,591.8199779923852,,,667.25836,,,,,,
377,595.43,,,670.0,,,,,,
378,599.342628875278,,,668.46316,,,,,,
379,618.9218701809152,,,672.9032,,,,,,
380,642.5466785838623,,,688.8041999999999,,,,,,
381,644.197,,,644.0,,,,,,
382,673.245174005445,,,686.16368,,,,,,
383,691.4427240745727,,,669.34668,,,,,,
384,702.7259228580988,,,660.8552,,,,,,
385,726.456,,,670.0,,,,,,
386,731.305,,,668.0,,,,,,
387,741.5788260356487,,,677.89072,,,,,,
388,750.701,,,680.0,,,,,,
389,756.3800664096789,,,683.71628,,,,,,
390,789.3872250785194,,,688.5732800000001,,,,,,
391,812.2053158189328,,,685.8548000000001,,,,,,
392,843.6260593638765,,,675.8626399999999,,,,,,
393,861.4625141969982,,,676.35696,,,,,,
394,865.05,,,667.0,,,,,,
395,869.81,,,669.0,,,,,,
396,890.9887002761429,,,671.64584,,,,,,
397,912.2031001098203,,,677.75252,,,,,,
398,917.726,,,680.0,,,,,,
399,923.8276690796927,,,679.94892,,,,,,
400,937.734,,,643.0,,,,,,
401,944.0252224935002,,,666.04588,,,,,,
402,945.0,,,661.2,,,,,,
403,980.7990895951901,,,654.04572,,,,,,
404,1004.7634924179109,,,647.3892,,,,,,
405,1051.5634510886982,,,647.11892,,,,,,
406,1090.03,,,664.0,,,,,,
407,1091.6901780195049,,,657.28864,,,,,,
408,1099.76,,,647.0,,,,,,
409,1119.3674970561874,,,657.35892,,,,,,
410,1128.55,,,648.0,,,,,,
411,1149.7572258629593,,,642.57,,,,,,
412,1153.26,,,640.0,,,,,,
413,1162.41,,,636.0,,,,,,
414,1184.5048389944611,,,643.4041199999999,,,,,,
415,1219.3288018065339,,,649.7493999999999,,,,,,
416,1245.71,,,635.0,,,,,,
417,1250.5787194369518,,,649.6984,,,,,,
418,1275.19,,,633.0,,,,,,
419,1281.0617155157283,,,642.0178000000001,,,,,,
420,1290.83,,,644.0,,,,,,
421,1317.0157597031514,,,633.5942399999999,,,,,,
422,1353.361598403651,,,645.31092,,,,,,
423,1376.9953883609987,,,652.0377199999999,,,,,,
424,1377.75,,,643.0,,,,,,
425,1382.41,,,629.0,,,,,,
426,1396.78,,,635.0,,,,,,
427,1412.326822165026,,,657.33884,,,,,,
428,1449.2036639534983,,,659.76852,,,,,,
429,1466.72,,,635.0,,,,,,
430,1475.62,,,650.0,,,,,,
431,1487.7646894251948,,,639.27688,,,,,,
432,1520.619145975062,,,636.2548400000001,,,,,,
433,1584.3593051638873,,,620.75308,,,,,,
434,1619.7578992947022,,,619.43784,,,,,,
435,1625.42,,,631.0,,,,,,
436,1641.95,,,638.0,,,,,,
437,1646.652574477147,,,624.11648,,,,,,
438,1674.8431227965757,,,626.8574,,,,,,
439,1706.12,,,632.0,,,,,,
440,1721.0969591017852,,,632.01796,,,,,,
441,1728.62,,,630.0,,,,,,
442,1746.5150130276384,,,640.7628000000001,,,,,,
443,1780.7865010906962,,,640.88328,,,,,,
444,1798.5,,,610.0,,,,,,
445,1807.36,,,623.0,,,,,,
446,1813.016928282524,,,638.81504,,,,,,
447,1844.5180713779132,,,632.028,,,,,,
448,1849.46,,,623.0,,,,,,
449,1874.36,,,615.0,,,,,,
450,1889.75,,,623.0,,,,,,
451,1893.0408563185767,,,628.44372,,,,,,
452,1919.4759421083404,,,633.87536,,,,,,
453,1935.7,,,647.6401999999999,,,,,,
454,1950.43,,,618.0,,,,,,
455,1975.33,,,613.0,,,,,,
456,2050.17,,,613.0,,,,,,
457,2126.13,,,605.0,,,,,,
458,2160.55,,,599.0,,,,,,
459,2221.64,,,604.0,,,,,,
460,2265.18,,,591.0,,,,,,
461,2265.36,,,594.0,,,,,,
462,2265.41,,,609.0,,,,,,
463,2413.79,,,602.0,,,,,,
464,2445.48,,,597.0,,,,,,
465,2501.47,,,595.0,,,,,,
466,2516.17,,,594.0,,,,,,
467,2519.09,,,597.0,,,,,,
468,2577.78,,,593.0,,,,,,
469,2607.76,,,604.0,,,,,,
470,2620.0,,,592.0,,,,,,
471,2662.58,,,579.0,,,,,,
472,2689.65,,,603.0,,,,,,
473,2693.58,,,590.0,,,,,,
474,2797.29,,,592.0,,,,,,
475,2813.25,,,586.0,,,,,,
476,2908.43,,,590.0,,,,,,
477,2914.8,,,580.0,,,,,,
478,2917.62,,,588.0,,,,,,
479,2919.34,,,583.0,,,,,,
480,2925.83,,,580.0,,,,,,
481,2934.22,,,578.0,,,,,,
482,2997.31,,,577.0,,,,,,
483,3022.36,,,577.0,,,,,,
484,3187.28,,,581.0,,,,,,
485,3240.55,,,573.0,,,,,,
486,3280.98,,,576.0,,,,,,
487,3289.47,,,589.0,,,,,,
488,3410.24,,,568.0,,,,,,
489,3520.09,,,581.0,,,,,,
490,3552.6,,,589.0,,,,,,
491,3631.16,,,573.0,,,,,,
492,3682.8,,,570.0,,,,,,
493,3689.51,,,560.0,,,,,,
494,3736.53,,,575.0,,,,,,
495,3777.5,,,596.0,,,,,,
496,3791.57,,,578.0,,,,,,
497,3832.4,,,578.0,,,,,,
498,3837.37,,,581.0,,,,,,
499,3936.36,,,576.0,,,,,,
500,4071.56,,,574.0,,,,,,
501,4094.15,,,578.0,,,,,,
502,4173.24,,,575.0,,,,,,
503,4192.85,,,549.0,,,,,,
504,4199.06,,,568.0,,,,,,
505,4252.98,,,576.0,,,,,,
506,4255.89,,,563.0,,,,,,
507,4311.46,,,570.0,,,,,,
508,4364.86,,,582.0,,,,,,
509,4478.04,,,577.0,,,,,,
510,4481.45,,,568.0,,,,,,
511,4496.18,,,579.0,,,,,,
512,4564.6,,,584.0,,,,,,
513,4578.41,,,570.0,,,,,,
514,4637.64,,,570.0,,,,,,
515,4644.29,,,568.0,,,,,,
516,4645.83,,,582.0,,,,,,
517,4646.33,,,562.0,,,,,,
518,4649.54,,,580.0,,,,,,
519,4743.9,,,560.0,,,,,,
520,4797.9,,,580.0,,,,,,
521,4842.23,,,560.0,,,,,,
522,4902.68,,,563.0,,,,,,
523,4919.49,,,560.0,,,,,,
524,4956.1,,,570.0,,,,,,
525,4971.87,,,563.0,,,,,,
526,5050.66,,,579.0,,,,,,
